Fall Year,College,Asian ,Native American ,African American (Non-Latino),Latino,White (Non-Latino),U.S. Nonresident,Pacific Islander,Middle Eastern or North African,Two or more races,All other or no indication,Total
2015,Harry S Truman,"1,324",25,"2,148","3,815","1,749",134,25,NA,NA,247,"9,467"
2015,Harold Washington,679,35,"2,881","3,501","1,252",308,13,NA,NA,424,"9,093"
2015,Wilbur Wright,678,30,937,"6,084","2,576",116,35,NA,NA,314,"10,770"
2015,CCC (total),3109,143,"16,159","22,139",6864,611,96,NA,NA,1578,"50,699"
2014,Richard J. Daley,89,11,"1,599","6,560",508,0,3,NA,NA,144,"8,914"
2014,Kennedy-King,49,15,"4,712",326,121,13,2,NA,NA,75,"5,313"
2014,Malcolm X,190,19,"3,880","1,612",388,0,8,NA,NA,148,"6,245"
2014,Olive-Harvey,226,13,"3,199",729,260,1,2,NA,NA,142,"4,572"
2014,Harry S Truman,"1,442",29,"2,567","4,143","2,143",3,27,NA,NA,247,"10,601"
2014,Harold Washington,901,37,"3,128","3,489","1,386",32,16,NA,NA,403,"9,392"
2014,Wilbur Wright,845,37,"1,194","6,735","2,950",10,43,NA,NA,332,"12,146"
2014,CCC (total),3742,161,"20,279","23,594",7756,59,101,NA,NA,1491,"57,183"
2013,Richard J. Daley,179,16,"1,793","6,591",648,1,2,NA,NA,154,"9,384"
2013,Kennedy-King,46,16,"5,295",264,119,14,4,NA,NA,102,"5,860"
2013,Malcolm X,217,27,"4,281","1,728",401,0,6,NA,NA,182,"6,842"
2013,Olive-Harvey,248,21,"3,803",834,260,0,1,NA,NA,131,"5,298"
2013,Harry S Truman,"1,435",31,"2,796","4,770","2,402",3,31,NA,NA,332,"11,800"
2013,Harold Washington,809,27,"3,096","3,243","1,421",34,12,NA,NA,394,"9,036"
2013,Wilbur Wright,893,46,"1,257","6,924","3,187",17,38,NA,NA,278,"12,640"
2013,CCC (total),3827,184,"22,321","24,354",8438,69,94,NA,NA,1573,"60,860"
2012,Richard J. Daley,122,16,"2,070","6,474",608,0,4,NA,NA,116,"9,410"
2012,Kennedy-King,133,18,"5,554",264,162,4,5,NA,NA,94,"6,234"
2012,Malcolm X,202,23,"4,269","1,482",433,0,7,NA,NA,107,"6,523"
2012,Olive-Harvey,222,11,"3,726",721,246,0,4,NA,NA,71,"5,001"
2012,Harry S Truman,"1,601",39,"2,943","4,578","2,474",3,22,NA,NA,265,"11,925"
2012,Harold Washington,895,32,"3,241","2,990","1,433",19,7,NA,NA,330,"8,947"
2012,Wilbur Wright,825,55,"1,325","6,591","3,431",8,46,NA,NA,187,"12,468"
2012,CCC (total),4000,194,"23,128","23,100",8787,34,95,NA,NA,1170,"60,508"
2011,Richard J. Daley,119,16,"1,995","5,464",562,1,7,NA,NA,86,"8,250"
2011,Kennedy-King,144,18,"5,616",239,122,5,3,NA,NA,94,"6,241"
2011,Malcolm X,219,23,"4,614","2,291",517,0,7,NA,NA,105,"7,776"
2011,Olive-Harvey,24,10,"3,876",601,65,0,2,NA,NA,39,"4,617"
2011,Harry S Truman,"1,664",45,"3,336","4,666","2,700",3,25,NA,NA,263,"12,702"
2011,Harold Washington,"1,093",40,"3,275","2,736","1,610",12,6,NA,NA,241,"9,013"
2011,Wilbur Wright,990,48,"1,474","6,436","3,519",6,42,NA,NA,158,"12,673"
2011,CCC (total),4253,200,"24,186","22,433",9095,27,92,NA,NA,986,"61,272"
2010,Richard J. Daley,121,14,"2,053","6,039",648,0,NA,NA,NA,90,"8,965"
2010,Kennedy-King,158,13,"5,696",260,146,3,NA,NA,NA,90,"6,366"
2010,Malcolm X,201,16,"4,770","2,675",620,1,NA,NA,NA,83,"8,366"
2010,Olive-Harvey,43,8,"4,001",684,62,0,NA,NA,NA,70,"4,868"
2010,Harry S Truman,"1,636",48,"3,095","4,928","2,774",5,NA,NA,NA,461,"12,947"
2010,Harold Washington,"1,096",34,"3,208","2,509","1,619",6,NA,NA,NA,249,"8,721"
2010,Wilbur Wright,"1,069",66,"1,255","6,351","3,736",3,NA,NA,NA,180,"12,660"
2010,CCC (total),4324,199,"24,078","23,446",9605,9988,NA,NA,NA,1223,"62,893"
